CS 170 Spring 2020 Project Leaderboard

S

M

L
Input Number
Team Name
Type 2 or more characters for results.
Team no_one

Input Name	Rank
small-1	1
small-2	1
small-3	1
small-4	29
small-5	1
small-6	1
small-7	27
small-8	26
small-9	1
small-10	38
small-11	33
small-12	1
small-13	1
small-14	1
small-15	21
small-16	13
small-17	27
small-18	32
small-19	1
small-20	23
small-21	31
small-22	1
small-23	1
small-24	1
small-25	1
small-26	1
small-27	26
small-28	43
small-29	1
small-30	36
small-31	1
small-32	1
small-33	1
small-34	51
small-35	35
small-36	1
small-37	1
small-38	22
small-39	19
small-40	32
small-41	40
small-42	18
small-43	29
small-44	1
small-45	35
small-46	1
small-47	1
small-48	29
small-49	1
small-50	49
small-51	1
small-52	1
small-53	1
small-54	1
small-55	1
small-56	28
small-57	1
small-58	57
small-59	1
small-60	1
small-61	36
small-62	1
small-63	14
small-64	30
small-65	46
small-66	34
small-67	27
small-68	55
small-69	1
small-70	35
small-71	28
small-72	47
small-73	1
small-74	1
small-75	26
small-76	1
small-77	1
small-78	31
small-79	1
small-80	56
small-81	1
small-82	1
small-83	18
small-84	38
small-85	51
small-86	1
small-87	1
small-88	34
small-89	25
small-90	1
small-91	46
small-92	41
small-93	1
small-94	49
small-95	40
small-96	1
small-97	41
small-98	54
small-99	3
small-100	1
small-101	1
small-102	1
small-103	35
small-104	27
small-105	35
small-106	1
small-107	1
small-108	49
small-109	74
small-110	1
small-111	1
small-112	47
small-113	20
small-114	1
small-115	1
small-116	60
small-117	47
small-118	19
small-119	48
small-120	1
small-121	23
small-122	1
small-123	1
small-124	1
small-125	1
small-126	36
small-127	39
small-128	46
small-129	17
small-130	16
small-131	19
small-132	1
small-133	51
small-134	53
small-135	1
small-136	21
small-137	61
small-138	1
small-139	29
small-140	1
small-141	62
small-142	35
small-143	41
small-144	20
small-145	95
small-146	39
small-147	40
small-148	1
small-149	1
small-150	11
small-151	1
small-152	35
small-153	33
small-154	1
small-155	25
small-156	1
small-157	1
small-158	1
small-159	1
small-160	1
small-161	33
small-162	1
small-163	1
small-164	1
small-165	1
small-166	27
small-167	33
small-168	23
small-169	47
small-170	64
small-171	1
small-172	1
small-173	1
small-174	48
small-175	1
small-176	47
small-177	27
small-178	14
small-179	32
small-180	43
small-181	29
small-182	33
small-183	36
small-184	1
small-185	35
small-186	1
small-187	52
small-188	1
small-189	1
small-190	57
small-191	19
small-192	45
small-193	52
small-194	22
small-195	38
small-196	47
small-197	1
small-198	38
small-199	1
small-200	1
small-201	37
small-202	1
small-203	89
